PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563261,2008-08-02:00:03:42,양품,PILAC-BT33,T5,75.16,2280,15373,20680,2호기,1,1131,117,1125,56,362,1112,878,적용,6,3조
PB563262,2008-08-02:00:04:08,양품,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,1,1119,121,1119,70,366,1109,878,적용,6,2조
PB563263,2008-08-02:00:04:24,양품,PILAC-BT33,T5,80.83,2895,9788,17980,2호기,2,1139,132,1124,80,382,1109,877,적용,6,1조
PB563264,2008-08-02:00:04:44,양품,PILAC-BT33,T5,75.33,1840,10514,11440,3호기,2,1139,129,1125,65,371,1111,877,적용,6,1조
PB563265,2008-08-02:00:05:23,양품,PILAC-BT33,T5,75.33,1840,10514,11440,2호기,2,1140,139,1123,72,390,1115,876,적용,6,4조
PB563266,2008-08-02:00:05:53,불량,PILAC-BT33,T5,80.82,2085,13176,17430,1호기,2,1138,131,1128,55,364,1122,876,미적용,6,3조
PB563267,2008-08-02:00:05:49,양품,PILAC-BT33,T5,80.82,2085,12919,17090,1호기,1,1132,78,1122,71,376,1113,842,적용,6,4조
PB563268,2008-08-02:01:10:40,양품,PILAC-BT33,T5,80.82,2085,12919,17090,2호기,1,1133,89,1122,59,378,1112,0,적용,6,2조
PB563269,2008-08-02:01:10:36,양품,PILAC-BT33,T5,80.82,2085,13176,17430,1호기,2,1130,92,1124,61,362,1116,0,적용,6,3조
PB563270,2008-08-02:01:10:23,양품,NV-D32-TM,T0,40.35,2497,23592,37320,3호기,1,1119,109,1117,76,383,1107,0,적용,6,3조
PB563271,2008-08-02:02:20:10,양품,GL-D36-TM,T7,40.35,3121,22962,22700,3호기,2,1140,90,1119,124,342,1113,816,적용,6,2조
PB563272,2008-08-02:01:15:42,양품,BV-AH32-TM,T0,50.41,3065,13282,16110,1호기,1,1133,70,1118,108,342,1111,889,적용,6,1조
PB563273,2008-08-02:02:20:47,양품,GL-A36-TM,T7,40.35,3229,15692,32100,2호기,1,1135,100,1113,109,342,1108,815,적용,6,3조
PB563274,2008-08-02:02:22:36,불량,BV-AH36-TM,T7,40.35,3059,15821,30660,2호기,2,1135,93,1119,134,342,1106,812,적용,5,4조
PB563275,2008-08-02:02:22:35,양품,NV-D36-TM,T7,40.35,2880,18679,17040,3호기,1,1114,85,1117,135,342,1103,815,적용,6,3조
PB563276,2008-08-02:02:21:32,양품,NV-A36-TM,T7,40.35,2660,20165,16990,3호기,2,1143,94,1122,110,342,1113,816,적용,6,3조
PB563277,2008-08-02:02:21:53,양품,NV-A36-TM,T7,40.35,2343,20157,29920,1호기,1,1123,78,1118,112,342,1104,818,적용,6,3조
PB563278,2008-08-02:02:22:38,양품,GL-D36-TM,T7,40.35,2306,20714,30260,1호기,2,1130,105,1120,115,342,1108,812,적용,6,3조
PB563279,2008-08-02:02:24:43,불량,A131-DH36TM,T7,70.7,3570,9175,18180,2호기,2,1128,92,1121,145,342,1106,859,미적용,6,3조
PB563280,2008-08-02:02:24:54,양품,BV-EH36-TM,T8,73.71,2725,11041,17410,2호기,1,1119,70,1118,130,342,1108,812,적용,6,4조
PB563281,2008-08-02:02:24:05,양품,BV-EH36-TM,T8,73.71,2725,11041,17410,3호기,1,1124,84,1121,129,342,1107,819,적용,6,4조
PB563282,2008-08-02:02:25:03,양품,NV-D36-TM,T7,54.41,2725,11031,12840,3호기,2,1139,82,1127,130,342,1113,814,적용,6,2조
PB563283,2008-08-02:02:25:53,양품,AB/EH36-TM,T8,76.91,2560,7893,12200,1호기,1,1111,77,1118,144,360,1110,837,적용,6,1조
PB563284,2008-08-02:02:25:12,양품,AB/EH36-TM,T8,76.91,2560,7893,12200,1호기,2,1113,71,1118,143,360,1110,842,적용,6,1조
PB563285,2008-08-02:02:25:51,양품,AB/EH36-TM,T8,76.91,2560,7893,12200,2호기,1,1103,68,1122,143,360,1110,848,적용,6,1조
PB563286,2008-08-02:03:30:46,양품,BV-AH36-TL,T7,73.73,1840,10019,10670,2호기,2,1144,102,1123,139,342,1109,814,적용,6,4조
